project;filename;mutants;killed_output;killed_timeout;total_killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;211;155;0;155;56;73.46
binarySearchTree2;binarySearchTree2.py;214;135;0;135;79;63.08
binarySearchTree3;binarySearchTree3.py;291;179;0;179;112;61.51
binarySearchTree4;binarySearchTree4.py;18;18;0;18;0;100.00
identifier1;identifier1.py;140;120;1;121;19;86.43
linkedList1;linkedList1.py;146;98;0;98;48;67.12
linkedList2;linkedList2.py;44;39;0;39;5;88.64
linkedList3;linkedList3.py;54;28;2;30;24;55.56
linkedList4;linkedList4.py;72;63;0;63;9;87.50
linkedList5;linkedList5.py;74;69;0;69;5;93.24
queue1;queue1.py;14;12;0;12;2;85.71
queue2;queue2.py;62;53;0;53;9;85.48
queue3;queue3.py;91;70;0;70;21;76.92
queue4;queue4.py;112;85;0;85;27;75.89
queue5;queue5.py;16;13;0;13;3;81.25
sort1;sort1.py;185;59;2;61;124;32.97
stack1;stack1.py;114;32;0;32;82;28.07
stack2;stack2.py;19;18;0;18;1;94.74
stack3;stack3.py;70;37;8;45;25;64.29
stack4;stack4.py;72;59;0;59;13;81.94
stack5;stack5.py;5;4;0;4;1;80.00
