project;filename;mutants;killed;incompetent;timeout;survived;mutation score
binarySearchTree1;binarySearchTree1.py;239;146;39;9;45;81.17
binarySearchTree2;binarySearchTree2.py;248;123;41;0;84;66.13
binarySearchTree3;binarySearchTree3.py;511;296;81;4;130;74.56
binarySearchTree4;binarySearchTree4.py;53;36;13;0;4;92.45
identifier1;identifier1.py;100;80;4;0;16;84.00
linkedList1;linkedList1.py;221;130;43;3;45;79.64
linkedList2;linkedList2.py;106;72;18;4;12;88.68
linkedList3;linkedList3.py;121;70;24;2;25;79.34
linkedList4;linkedList4.py;110;75;22;4;9;91.82
linkedList5;linkedList5.py;136;97;18;8;13;90.44
queue1;queue1.py;67;33;23;0;11;83.58
queue2;queue2.py;186;119;35;6;26;86.02
queue3;queue3.py;222;158;44;1;19;91.44
queue4;queue4.py;198;127;37;2;32;83.84
queue5;queue5.py;48;30;14;0;4;91.67
sort1;sort1.py;115;31;22;1;61;46.96
stack1;stack1.py;129;74;16;0;39;69.77
stack2;stack2.py;29;18;8;0;3;89.66
stack3;stack3.py;155;89;33;7;26;83.23
stack4;stack4.py;122;77;25;4;16;86.89
stack5;stack5.py;35;21;11;0;3;91.43
