prj;classes;methods;cc;rank_cc;lloc;sloc;mi;rank_mi;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
binarySearchTree1.py;2;16;4;A;126;109;51.71537107476063;A;7;40;28;56;47;84;232.52860824989773;466.5854635409216;4.9;2286.268771350516;127.01493174169534;0.15552848784697387
binarySearchTree2.py;2;15;3;A;146;144;41.266387675615185;A;10;38;33;65;48;98;232.64052645972987;547.3263250706734;8.552631578947368;4681.080411788654;260.06002287714745;0.18244210835689115
binarySearchTree3.py;5;35;5;A;289;248;34.87887800250636;A;11;59;56;98;70;154;385.12968771735893;943.9095846095249;9.135593220338983;8623.174001771762;479.06522232065345;0.314636528203175
binarySearchTree4.py;2;5;4;A;36;36;51.9966223120684;A;2;8;6;12;10;18;26.0;59.794705707972525;1.5;89.69205856195879;4.9828921423310435;0.019931568569324175
identifier1.py;1;3;8;B;35;31;55.72537594310353;A;8;40;25;51;48;76;236.8771237954945;424.4571500548079;5.1;2164.7314652795203;120.26285918219557;0.14148571668493598
linkedList1.py;4;14;4;A;122;118;59.17974876919385;A;9;34;26;51;43;77;201.50306161549238;417.82238611206157;6.75;2820.3011062564156;156.68339479202308;0.13927412870402053
linkedList2.py;2;9;4;A;65;53;57.444054393313465;A;5;20;13;26;25;39;98.04820237218406;181.11039140121426;3.25;588.6087720539464;32.700487336330355;0.06037013046707142
linkedList3.py;2;10;2;A;70;61;43.24208475199468;A;4;10;9;18;14;27;41.219280948873624;102.7985828955553;3.6;370.07489842399906;20.559716579111058;0.03426619429851843
linkedList4.py;2;8;3;A;62;50;68.0633791507833;A;7;22;14;26;29;40;117.75898006442377;194.3192398051029;4.136363636363637;803.775037375653;44.65416874309184;0.0647730799350343
linkedList5.py;2;11;4;A;85;85;36.20205256809807;A;4;25;21;42;29;63;124.09640474436812;306.0528026930371;3.36;1028.3374170486047;57.129856502700264;0.10201760089767904
queue1.py;2;8;2;A;40;39;70.98227282157728;A;3;10;5;10;13;15;37.974168451037094;55.506595772116384;1.5;83.25989365817458;4.625549647676365;0.01850219859070546
queue2.py;3;16;4;A;111;92;45.37959742668945;A;5;24;21;42;29;63;121.64874049174458;306.0528026930371;4.375;1338.9810117820373;74.38783398789096;0.10201760089767904
queue3.py;3;20;2;A;135;117;32.902806451178;A;3;18;17;34;21;51;79.81353752812508;224.0081885617168;2.8333333333333335;634.689867591531;35.260548199529495;0.07466939618723893
queue4.py;3;14;5;A;115;97;55.92633498663545;A;8;18;18;35;26;53;99.05865002596161;249.1233050614779;7.777777777777778;1937.625706033717;107.64587255742873;0.08304110168715931
queue5.py;2;4;4;A;26;26;73.47441688763466;A;3;10;7;14;13;21;37.974168451037094;77.70923408096293;2.1;163.18939157002217;9.066077309445676;0.025903078026987644
sort1.py;1;6;4;A;68;59;68.36612727343154;A;7;31;21;42;38;63;173.2315700763964;330.61943334694587;4.741935483870968;1567.776022645195;87.09866792473306;0.11020647778231529
stack1.py;2;6;2;A;76;76;67.48542976914703;A;10;22;17;34;32;51;131.32677655889415;255.0;7.7272727272727275;1970.4545454545455;109.46969696969697;0.085
stack2.py;1;5;2;A;19;13;89.50878191545675;A;2;4;2;4;6;6;10.0;15.509775004326936;1.0;15.509775004326936;0.861654166907052;0.005169925001442312
stack3.py;3;17;2;A;92;76;38.844439322452324;A;5;12;11;21;17;32;54.62919048309069;130.79881092001088;4.375;572.2447977750476;31.79137765416931;0.04359960364000363
stack4.py;3;11;3;A;73;57;67.91954925480242;A;7;22;14;26;29;40;117.75898006442377;194.3192398051029;4.136363636363637;803.775037375653;44.65416874309184;0.0647730799350343
stack5.py;2;6;2;A;19;19;60.87236072180186;A;2;6;3;6;8;9;17.509775004326936;27.0;1.0;27.0;1.5;0.009
