project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;67.48;62.87;4.42
binarySearchTree2;binarySearchTree2.py;67.77;63.22;4.22
binarySearchTree3;binarySearchTree3.py;103.56;96.87;6.37
binarySearchTree4;binarySearchTree4.py;4.84;4.50;0.30
identifier1;identifier1.py;88.08;44.40;3.00
linkedList1;linkedList1.py;55.41;51.87;3.43
linkedList2;linkedList2.py;16.74;15.61;1.07
linkedList3;linkedList3.py;280.91;14.82;3.85
linkedList4;linkedList4.py;18.33;16.76;1.42
linkedList5;linkedList5.py;20.37;18.91;1.39
queue1;queue1.py;3.86;3.55;0.28
queue2;queue2.py;17.19;15.96;1.14
queue3;queue3.py;25.54;23.70;1.67
queue4;queue4.py;31.10;28.53;2.16
queue5;queue5.py;4.23;3.84;0.35
sort1;sort1.py;442.39;76.68;4.99
stack1;stack1.py;30.33;27.98;2.19
stack2;stack2.py;5.57;5.11;0.43
stack3;stack3.py;341.72;18.58;1.42
stack4;stack4.py;18.62;17.16;1.32
stack5;stack5.py;1.70;1.58;0.11
