Operador,Mortos,Vivos
AddNot,14,0
NumberReplacer,18,0
ReplaceBinaryOperator_Sub_Add,2,0
ReplaceBinaryOperator_Sub_BitAnd,2,0
ReplaceBinaryOperator_Sub_BitOr,2,0
ReplaceBinaryOperator_Sub_BitXor,2,0
ReplaceBinaryOperator_Sub_Div,2,0
ReplaceBinaryOperator_Sub_FloorDiv,2,0
ReplaceBinaryOperator_Sub_LShift,2,0
ReplaceBinaryOperator_Sub_Mod,2,0
ReplaceBinaryOperator_Sub_Mul,2,0
ReplaceBinaryOperator_Sub_Pow,2,0
ReplaceBinaryOperator_Sub_RShift,2,0
ReplaceComparisonOperator_Eq_Gt,2,0
ReplaceComparisonOperator_Eq_GtE,1,1
ReplaceComparisonOperator_Eq_Is,1,0
ReplaceComparisonOperator_Eq_IsNot,1,0
ReplaceComparisonOperator_Eq_Lt,2,0
ReplaceComparisonOperator_Eq_LtE,1,1
ReplaceComparisonOperator_Eq_NotEq,2,0
ReplaceComparisonOperator_GtE_Eq,3,0
ReplaceComparisonOperator_GtE_Gt,3,0
ReplaceComparisonOperator_GtE_Is,3,0
ReplaceComparisonOperator_GtE_IsNot,3,0
ReplaceComparisonOperator_GtE_Lt,3,0
ReplaceComparisonOperator_GtE_LtE,3,0
ReplaceComparisonOperator_GtE_NotEq,3,0
ReplaceComparisonOperator_IsNot_Is,4,0
ReplaceComparisonOperator_Is_Eq,0,1
ReplaceComparisonOperator_Is_Gt,1,0
ReplaceComparisonOperator_Is_GtE,1,0
ReplaceComparisonOperator_Is_IsNot,6,0
ReplaceComparisonOperator_Is_Lt,1,0
ReplaceComparisonOperator_Is_LtE,1,0
ReplaceComparisonOperator_Is_NotEq,1,0
ReplaceComparisonOperator_Lt_Eq,2,0
ReplaceComparisonOperator_Lt_Gt,2,0
ReplaceComparisonOperator_Lt_GtE,2,0
ReplaceComparisonOperator_Lt_LtE,2,0
ReplaceComparisonOperator_Lt_NotEq,2,0
ReplaceFalseWithTrue,1,0
ReplaceOrWithAnd,2,0
ReplaceTrueWithFalse,1,0
ZeroIterationForLoop,3,0
